tconst,titleType,originalTitle,title,startYear,runtimeMinutes,averageRating,numVotes,Main_genre,Sub_genre_1,Sub_genre_2,Directors,birthYear,deathYear,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5
tt0100935,movie,Wild at Heart,Sailor et Lula,1990,125,7.2,84975.0,Drama,Crime,Comedy,David Lynch,1946.0,0.0,Sherilyn Fenn,Gretchen Armstrong,Kenneth Berg,T. Bone,Paul Burge
tt0100994,movie,Young Guns II,Young Guns II,1990,104,6.6,31547.0,Western,Action,,Geoff Murphy,1938.0,2018.0,Alexis Alexander,Shane Clark,Ron M. Field,Star Fields,William J. Fisher
tt0100998,movie,Yume,Rêves (Dreams),1990,119,7.8,24334.0,Fantasy,Drama,,,,,Catherine Cadou,Vittorio Dalle Ore,Daizaburo Harada,Mutsuhiro Harada,Noriko Hayami
tt0101026,movie,¡Átame!,Attache-moi!,1989,101,7.0,25124.0,Drama,Crime,Comedy,Pedro Almodóvar,1949.0,0.0,Vladimiro Amor,Jorge Aparicio,Lola Cardona,Mimmo Cattarinich,Fabio McNamara
tt0101258,movie,Ah Fei jing juen,Nos années sauvages,1990,100,7.6,18757.0,Romance,Drama,Crime,Kar-Wai Wong,1956.0,0.0,Maritoni Fernandez,Kit-Wai Kai,Mei-Mei Hung,Patricia Yew,Maritoni Fernandez
tt0101272,movie,The Addams Family,La famille Addams,1991,99,6.9,138562.0,Fantasy,Comedy,,Barry Sonnenfeld,1953.0,0.0,Jack Cummins,Victoria Hall,M.C. Hammer,Lela Ivey,Eugene Jackson
tt0101316,movie,L'amant,L'amant,1992,115,6.9,19544.0,Romance,Drama,Biography,Jean-Jacques Annaud,1943.0,0.0,Diane Logan,Alfred Lott,Sophie Martel,Frédérique Meininger,Didier Nové
tt0101393,movie,Backdraft,Backdraft,1991,137,6.7,72738.0,Drama,Crime,Action,Ron Howard,1954.0,0.0,Jason Gedrick,Scott Glenn,Jane Alderman,William Allen Jr.,William L. Allen Sr.
tt0101410,movie,Barton Fink,Barton Fink,1991,116,7.7,114377.0,Thriller,Drama,Comedy,,,,Billy Bates,Barbara Benz,Ella St. John Blakey,Harry Bugin,Randall Coleman
tt0101414,movie,Beauty and the Beast,La Belle et la Bête,1991,84,8.0,420418.0,Fantasy,Family,Animation,,,,Bruce Adler,Roger Allers,Peabo Bryson,John Carnochan,Dana Jon Chappelle
